Lat, long, elev, period,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD0 ,DD_5 ,DD18 ,DD_18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,Tmax_wt ,Tmax_sp ,Tmax_sm ,Tmax_at ,Tmin_wt ,Tmin_sp ,Tmin_sm ,Tmin_at ,Tave_wt ,Tave_sp ,Tave_sm ,Tave_at ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,Rad_wt ,Rad_sp ,Rad_sm ,Rad_at ,DD0_wt ,DD0_sp ,DD0_sm ,DD0_at ,DD_5_wt ,DD_5_sp ,DD_5_sm ,DD_5_at ,DD18_wt ,DD18_sp ,DD18_sm ,DD18_at ,DD_18_wt ,DD_18_sp ,DD_18_sm ,DD_18_at ,NFFD_wt ,NFFD_sp ,NFFD_sm ,NFFD_at ,PAS_wt ,PAS_sp ,PAS_sm ,PAS_at ,Eref_wt ,Eref_sp ,Eref_sm ,Eref_at ,CMD_wt ,CMD_sp ,CMD_sm ,CMD_at ,RH_wt ,RH_sp ,RH_sm ,RH_at ,Tmax(01) ,Tmax(02) ,Tmax(03) ,Tmax(04) ,Tmax(05) ,Tmax(06) ,Tmax(07) ,Tmax(08) ,Tmax(09) ,Tmax(10) ,Tmax(11) ,Tmax(12) ,Tmin(01) ,Tmin(02) ,Tmin(03) ,Tmin(04) ,Tmin(05) ,Tmin(06) ,Tmin(07) ,Tmin(08) ,Tmin(09) ,Tmin(10) ,Tmin(11) ,Tmin(12) ,Tave(01) ,Tave(02) ,Tave(03) ,Tave(04) ,Tave(05) ,Tave(06) ,Tave(07) ,Tave(08) ,Tave(09) ,Tave(10) ,Tave(11) ,Tave(12) ,Prec(01) ,Prec(02) ,Prec(03) ,Prec(04) ,Prec(05) ,Prec(06) ,Prec(07) ,Prec(08) ,Prec(09) ,Prec(10) ,Prec(11) ,Prec(12) ,Rad(01) ,Rad(02) ,Rad(03) ,Rad(04) ,Rad(05) ,Rad(06) ,Rad(07) ,Rad(08) ,Rad(09) ,Rad(10) ,Rad(11) ,Rad(12) ,DD0(01) ,DD0(02) ,DD0(03) ,DD0(04) ,DD0(05) ,DD0(06) ,DD0(07) ,DD0(08) ,DD0(09) ,DD0(10) ,DD0(11) ,DD0(12) ,DD_5(01) ,DD_5(02) ,DD_5(03) ,DD_5(04) ,DD_5(05) ,DD_5(06) ,DD_5(07) ,DD_5(08) ,DD_5(09) ,DD_5(10) ,DD_5(11) ,DD_5(12) ,DD18(01) ,DD18(02) ,DD18(03) ,DD18(04) ,DD18(05) ,DD18(06) ,DD18(07) ,DD18(08) ,DD18(09) ,DD18(10) ,DD18(11) ,DD18(12) ,DD_18(01) ,DD_18(02) ,DD_18(03) ,DD_18(04) ,DD_18(05) ,DD_18(06) ,DD_18(07) ,DD_18(08) ,DD_18(09) ,DD_18(10) ,DD_18(11) ,DD_18(12) ,NFFD(01) ,NFFD(02) ,NFFD(03) ,NFFD(04) ,NFFD(05) ,NFFD(06) ,NFFD(07) ,NFFD(08) ,NFFD(09) ,NFFD(10) ,NFFD(11) ,NFFD(12) ,PAS(01) ,PAS(02) ,PAS(03) ,PAS(04) ,PAS(05) ,PAS(06) ,PAS(07) ,PAS(08) ,PAS(09) ,PAS(10) ,PAS(11) ,PAS(12) ,Eref(01) ,Eref(02) ,Eref(03) ,Eref(04) ,Eref(05) ,Eref(06) ,Eref(07) ,Eref(08) ,Eref(09) ,Eref(10) ,Eref(11) ,Eref(12) ,CMD(01) ,CMD(02) ,CMD(03) ,CMD(04) ,CMD(05) ,CMD(06) ,CMD(07) ,CMD(08) ,CMD(09) ,CMD(10) ,CMD(11) ,CMD(12) ,RH(01) ,RH(02) ,RH(03) ,RH(04) ,RH(05) ,RH(06) ,RH(07) ,RH(08) ,RH(09) ,RH(10) ,RH(11) ,RH(12) 
49.253,-123.250,70,year_2012,10.4,18.9,3.5,15.4,1328,201,15.4,94.1,92,2221,2889,145,318,68,323,255,37,-13.4,35,-9999,624,255,77,6.7,13,21.2,14.8,1.6,5.6,12.6,7.6,4.2,9.3,16.9,11.2,372,292,138,410,-9999,-9999,-9999,-9999,70,16,0,7,95,434,1099,592,1239,814,196,641,1,14,99,30,60,81,92,85,20,6,0,6,39,180,293,113,0,31,163,61,83,75,73,77,6,7.7,8.7,13.5,16.9,17.5,22.3,23.9,21,13.8,9.7,5.8,1,2.4,2.8,5.8,8.1,10.3,13.5,14,10.6,7.5,4.7,2.5,3.5,5,5.7,9.7,12.5,13.9,17.9,18.9,15.8,10.7,7.2,4.1,158,128,141,95,56,94,38,6,7,218,184,203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,17,14,2,0,0,0,0,0,1,6,23,25,38,52,144,238,267,400,432,325,183,84,33,453,359,382,251,180,130,38,28,89,228,324,427,1,0,1,4,9,8,35,57,25,4,1,0,18,20,23,28,30,30,31,31,30,30,26,22,11,5,5,1,0,0,0,0,0,1,5,9,11,18,33,59,87,86,107,100,68,30,14,9,0,0,0,0,31,0,69,94,61,0,0,0,82,81,80,75,72,77,73,70,68,80,83,84
49.253,-123.250,70,year_2013,10.8,19.3,3,16.4,1023,336,20.4,57.5,99,2391,2789,198,316,68,321,253,30,-13.4,35,-9999,640,203,78,6.2,14.3,22.8,14.2,2.2,6.5,13.7,7.6,4.2,10.4,18.2,10.9,414,321,115,311,-9999,-9999,-9999,-9999,80,10,0,9,85,515,1220,571,1280,717,121,672,1,21,146,30,56,84,92,83,22,3,0,6,35,188,313,103,0,4,199,0,86,74,72,79,5.2,7.6,11.4,13.5,18,20.4,24.6,23.3,19.6,13.7,9.3,5.1,0.9,3.2,3.9,5.8,9.7,12.3,14.1,14.8,12.4,6.6,3.8,0.8,3,5.4,7.6,9.7,13.9,16.4,19.3,19,16,10.2,6.6,3,113,98,131,105,85,57,1,57,137,41,133,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33,16,8,2,0,0,0,0,0,1,8,31,21,43,92,144,278,341,445,435,331,170,70,21,467,349,323,251,142,74,20,27,85,244,343,464,0,0,2,4,15,24,62,59,26,3,1,0,17,22,26,28,31,30,31,31,30,29,24,17,9,3,1,1,0,0,0,0,1,0,5,5,10,17,40,59,89,99,122,93,57,32,15,8,0,0,0,0,4,42,121,36,0,0,0,0,85,85,75,75,74,75,68,74,77,77,81,89
49.253,-123.250,70,year_2014,11.5,20,5,14.9,1347,232,16,86.1,83,2589,2584,246,321,62,333,271,33,-13.4,35,-9999,657,255,77,6.2,14.5,23.3,15.5,1.2,7,14,8.7,3.7,10.7,18.6,12.1,320,347,81,471,-9999,-9999,-9999,-9999,65,10,0,8,112,547,1257,673,1205,688,112,579,2,26,174,44,59,85,92,84,23,3,0,8,38,188,321,110,0,15,240,0,83,76,72,78,7.5,5.9,10.3,14.3,18.8,20.5,24.8,24.6,21,15.9,9.6,8,2.6,0.3,4.2,6.1,10.7,11.9,14.7,15.4,12.3,10.3,3.4,2.9,5,3.1,7.2,10.2,14.8,16.2,19.7,20,16.7,13.1,6.5,5.4,109,147,183,89,75,32,32,16,76,191,203,193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19,29,9,2,0,0,0,0,0,0,8,16,43,19,82,160,305,336,457,464,351,253,69,51,405,413,336,235,118,77,17,18,72,163,344,387,1,0,2,5,20,23,72,80,33,10,1,1,22,14,26,28,31,30,31,31,30,31,23,23,4,14,3,1,0,0,0,0,0,0,8,5,12,17,36,62,90,101,121,99,64,31,15,9,0,0,0,0,15,69,89,82,0,0,0,0,83,80,79,73,75,73,69,72,73,82,79,85
49.253,-123.250,70,year_2015,12.2,20.4,5.2,15.1,1171,172,18.9,118.5,56,2753,2371,276,336,53,330,277,19,-13.4,35,-9999,698,353,76,9.2,15.8,24.6,14.3,4,7.4,14.4,7.6,6.6,11.6,19.5,11,465,205,98,345,-9999,-9999,-9999,-9999,39,7,0,11,210,623,1337,583,1032,610,68,662,3,34,214,25,74,87,92,82,10,1,0,9,44,205,345,104,0,107,247,0,82,73,69,78,8.6,11.1,12.9,14.3,20.3,24.8,25.4,23.7,18.2,16,8.8,7.3,3.6,5.6,5.7,5.6,11,13.6,15.3,14.4,10.5,9.6,2.7,3.2,6.1,8.3,9.3,10,15.7,19.2,20.4,19,14.4,12.8,5.8,5.2,143,128,149,52,4,7,26,65,70,108,167,251,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15,7,5,2,0,0,0,0,0,0,10,17,60,103,138,153,333,426,477,435,282,244,56,47,373,266,272,242,95,29,13,27,123,171,367,393,1,2,3,5,26,68,87,59,15,9,1,1,24,26,29,28,31,30,31,31,30,31,22,24,4,1,1,0,0,0,0,0,1,0,8,7,13,21,42,64,99,126,122,97,56,33,15,10,0,0,0,12,95,119,96,32,0,0,0,0,83,81,76,72,71,67,70,72,76,80,79,83
